"id","Plate","Plate Rep","Genotype","Salt","Microbes","Row","Column","lon","lat","conc_corrected","BZT_percent_d","X10.FN","od600","od750","BZTalanine","glycosylatedBZT","BZTacetylalanine","aniline","amino_3_phenol","phenazine","methylBZT","methoxyBZT","km","density"
"1.1.C5",1,1,"Okb","0.8","No","C",5,79.439167,43.824444,0.195217022798538,80.4782977201462,6,0.0565,0.049,0,9.87541441662943e-12,0,4.06128894531012e-12,0,3.7307895973591e-12,1.1363259803203e-11,0,19.5870370721657,9343.00200719548
"1.1.C6",1,1,"Nnq","0.8","No","C",6,78.9723,44.17564,0.0250552761218855,97.4944723878114,2,0.0715,0.0615,0,0,0,7.92084678253111e-12,0,0,9.0107164770397e-12,0,66.8435025836837,1100.91342111077
"1.2.B5",1,2,"Okb","0","No","B",5,79.439167,43.824444,0.0355298390392423,96.4470160960758,11,0.0475,0.042,0,0,1.15571187366105e-12,1.61436378847548e-11,0,0,0,3.0755782810379e-12,19.5870370721657,9343.00200719548
"1.2.B6",1,2,"Nnq","0","No","B",6,78.9723,44.17564,0.0917634793770161,90.8236520622984,2,0.0645,0.0705,0,0,0,1.34949349194283e-11,0,0,0,6.98827250785452e-13,66.8435025836837,1100.91342111077
"1.2.C5",1,2,"Okb","0.8","Yes","C",5,79.439167,43.824444,0.138811288046004,86.1188711953996,10,0.0605,0.0485,7.69172181690855e-12,1.42892798099846e-11,0,1.11304764553359e-11,0,2.14733284598487e-12,0,0,19.5870370721657,9343.00200719548
"1.2.C6",1,2,"Nnq","0.8","Yes","C",6,78.9723,44.17564,0.0421886784018043,95.7811321598196,2,0.097,0.094,0,0,0,1.2171673519274e-11,0,0,4.29886526612618e-12,0,66.8435025836837,1100.91342111077
"1.2.D5",1,2,"Okb","0","Yes","D",5,79.439167,43.824444,0.22600860012124,77.399139987876,6,0.051,0.0455,3.28386597776697e-11,1.37437769373223e-11,0,9.16663062931928e-12,1.20807618477719e-11,3.27487782426212e-12,0,6.42365003456741e-13,19.5870370721657,9343.00200719548
"1.2.D6",1,2,"Nnq","0","Yes","D",6,78.9723,44.17564,0.0854578306513074,91.4542169348693,2,0.1205,0.111,0,0,6.58871184590601e-13,6.78086922169666e-12,9.74353748295653e-12,0,7.43992757408967e-12,8.32643362204577e-13,66.8435025836837,1100.91342111077
"10.1.A2",10,1,"Cnp","0","Yes","A",2,78.934218,43.938637,0.120765553169027,87.9234446830973,7,0.0905,0.091,0,8.66587007917334e-12,0,2.97882725914362e-12,0,0,7.90032130463593e-12,6.30321063909501e-13,48.0741339060017,6404.05077211101
"10.1.B2",10,1,"Cnp","0","No","B",2,78.934218,43.938637,0.0440391120134755,95.5960887986524,5,0.163,0.135,5.7498743847279e-12,0,2.1440327628104e-12,5.02204669926637e-12,0,0,0,8.90309744756765e-13,48.0741339060017,6404.05077211101
